,Ante,Conse
0,['NICETEA 500ML SOYUQ CAY MESE GILEMEYVELI PL/Q'],['SOKOLAD LEMO LAYM POMADALI KG']
1,['SOKOLAD LEMO LAYM POMADALI KG'],['NICETEA 500ML SOYUQ CAY MESE GILEMEYVELI PL/Q']
2,['RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ'],['FROZEN HAPPY BIRTHDAY 4-LU SAM DESTI']
3,['FROZEN HAPPY BIRTHDAY 4-LU SAM DESTI'],['RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ']
4,['KARAMEL BAB. MU-MU/BURENKA KG'],['PRAZACKA 500ML PIVE 4% S/Q']
5,['PRAZACKA 500ML PIVE 4% S/Q'],['KARAMEL BAB. MU-MU/BURENKA KG']
6,['KOKAB MUREBBE QABI 6-LI'],['KONFET KDV YARCE! ARAXIS V KARAMELI KG']
7,['KONFET KDV YARCE! ARAXIS V KARAMELI KG'],['KOKAB MUREBBE QABI 6-LI']
8,['KERE YAGI MILKLAND 82% KG'],['SUPER FRESH 500GR MIMI BOREK PENDIRLI']
9,['SUPER FRESH 500GR MIMI BOREK PENDIRLI'],['KERE YAGI MILKLAND 82% KG']
10,['CER.ZENCEFIL DIABET KG'],['KARAMEL ULDUZ COFFONE COFFE KG']
11,['KARAMEL ULDUZ COFFONE COFFE KG'],['CER.ZENCEFIL DIABET KG']
12,['ICNYA 950GR QATILASDIRILMIS SUD 8.5% D/Q'],['PEYMAN 200GR DOR LEO KABUKLU ANTEP FISTI']
13,['PEYMAN 200GR DOR LEO KABUKLU ANTEP FISTI'],['ICNYA 950GR QATILASDIRILMIS SUD 8.5% D/Q']
14,['ICNYA 950GR QATILASDIRILMIS SUD 8.5% D/Q'],['PINAR 420GR KETCUP ADI PL/Q']
15,['PINAR 420GR KETCUP ADI PL/Q'],['ICNYA 950GR QATILASDIRILMIS SUD 8.5% D/Q']
16,['ICNYA 950GR QATILASDIRILMIS SUD 8.5% D/Q'],['LEZZET 500GR LAY-LAY VAFLI GECE-GUNDUZ']
17,['LEZZET 500GR LAY-LAY VAFLI GECE-GUNDUZ'],['ICNYA 950GR QATILASDIRILMIS SUD 8.5% D/Q']
18,['KONFET AMAREL FUDGE CARAMEL KG'],"['QUDVILL 1,5KG DUYU YUMRU']"
19,"['QUDVILL 1,5KG DUYU YUMRU']",['KONFET AMAREL FUDGE CARAMEL KG']
20,['PENTI 40DEN MICRO QOLF QARA'],['RAMENSKIY KON.150GR RULET MESE GILEMEYVE']
21,['RAMENSKIY KON.150GR RULET MESE GILEMEYVE'],['PENTI 40DEN MICRO QOLF QARA']
22,['COREK COREKCI 450GR KOMBE COVDARLI'],['COMET 500ML GEL YAZ TERAVETI']
23,['COMET 500ML GEL YAZ TERAVETI'],['COREK COREKCI 450GR KOMBE COVDARLI']
24,['NOBEL 0.5LT MYAQKAYA&ULTRA  ARAQ'],['DRAJE ELIT SPESIYAL KG']
25,['DRAJE ELIT SPESIYAL KG'],['NOBEL 0.5LT MYAQKAYA&ULTRA  ARAQ']
26,['TALOSTO 500GR SLOENOE DROJEVOE TESTO'],['KONFET KDV YARCE! ARAXIS V KARAMELI KG']
27,['KONFET KDV YARCE! ARAXIS V KARAMELI KG'],['TALOSTO 500GR SLOENOE DROJEVOE TESTO']
28,['GREEN LIVE TAXTA QASHIQ'],['LIMODAD 1LT LIMONAD DUSES PL/Q']
29,['LIMODAD 1LT LIMONAD DUSES PL/Q'],['GREEN LIVE TAXTA QASHIQ']
30,['KAI DA GLASS MEYVE QABI KICIK'],['SOKOLAD LEMO LAYM POMADALI KG']
31,['SOKOLAD LEMO LAYM POMADALI KG'],['KAI DA GLASS MEYVE QABI KICIK']
32,['LEZZET 500GR LAY-LAY VAFLI GECE-GUNDUZ'],['MILKY SIP 30GR SUDLU CUBUQ DAILY BANAN']
33,['MILKY SIP 30GR SUDLU CUBUQ DAILY BANAN'],['LEZZET 500GR LAY-LAY VAFLI GECE-GUNDUZ']
34,['BAKURIANI 0.33LT SU USAQ UCUN PL/Q'],['RAMENSKIY KON.150GR RULET MESE GILEMEYVE']
35,['RAMENSKIY KON.150GR RULET MESE GILEMEYVE'],['BAKURIANI 0.33LT SU USAQ UCUN PL/Q']
36,['CINZANO 750ML SAMPAN PROSECCO'],['OSMANBEYLI 15GR CIRE UYUDULMUS POSET']
37,['OSMANBEYLI 15GR CIRE UYUDULMUS POSET'],['CINZANO 750ML SAMPAN PROSECCO']
38,"['DRAJE ELIT SPESIYAL KG', 'PAREX FLOOR BOARD+MATPAS GIFT 6.']",['KONFIRELLA 200GR RULET ERIKLI']
39,"['KONFIRELLA 200GR RULET ERIKLI', 'PAREX FLOOR BOARD+MATPAS GIFT 6.']",['DRAJE ELIT SPESIYAL KG']
40,"['DRAJE ELIT SPESIYAL KG', 'KONFIRELLA 200GR RULET ERIKLI']",['PAREX FLOOR BOARD+MATPAS GIFT 6.']
41,['PAREX FLOOR BOARD+MATPAS GIFT 6.'],"['DRAJE ELIT SPESIYAL KG', 'KONFIRELLA 200GR RULET ERIKLI']"
42,['DRAJE ELIT SPESIYAL KG'],"['KONFIRELLA 200GR RULET ERIKLI', 'PAREX FLOOR BOARD+MATPAS GIFT 6.']"
43,['KONFIRELLA 200GR RULET ERIKLI'],"['DRAJE ELIT SPESIYAL KG', 'PAREX FLOOR BOARD+MATPAS GIFT 6.']"
44,"['VILO 80ML AYAQQABI BOYASI SU KECIRMEZ', 'TANELLI 5KG MAKARON BURMA']",['KARAMEL BAB. MU-MU/BURENKA KG']
45,"['VILO 80ML AYAQQABI BOYASI SU KECIRMEZ', 'KARAMEL BAB. MU-MU/BURENKA KG']",['TANELLI 5KG MAKARON BURMA']
46,"['TANELLI 5KG MAKARON BURMA', 'KARAMEL BAB. MU-MU/BURENKA KG']",['VILO 80ML AYAQQABI BOYASI SU KECIRMEZ']
47,['VILO 80ML AYAQQABI BOYASI SU KECIRMEZ'],"['TANELLI 5KG MAKARON BURMA', 'KARAMEL BAB. MU-MU/BURENKA KG']"
48,['TANELLI 5KG MAKARON BURMA'],"['VILO 80ML AYAQQABI BOYASI SU KECIRMEZ', 'KARAMEL BAB. MU-MU/BURENKA KG']"
49,['KARAMEL BAB. MU-MU/BURENKA KG'],"['VILO 80ML AYAQQABI BOYASI SU KECIRMEZ', 'TANELLI 5KG MAKARON BURMA']"
50,"['KITCHEN TAXTA QASIQ SE-435', 'POMIDOR KG']",['SOLEN 28GR BISCOLATA NIRVANA VAFLI SOKOLAD']
51,"['KITCHEN TAXTA QASIQ SE-435', 'SOLEN 28GR BISCOLATA NIRVANA VAFLI SOKOLAD']",['POMIDOR KG']
52,"['POMIDOR KG', 'SOLEN 28GR BISCOLATA NIRVANA VAFLI SOKOLAD']",['KITCHEN TAXTA QASIQ SE-435']
53,['KITCHEN TAXTA QASIQ SE-435'],"['POMIDOR KG', 'SOLEN 28GR BISCOLATA NIRVANA VAFLI SOKOLAD']"
54,['POMIDOR KG'],"['KITCHEN TAXTA QASIQ SE-435', 'SOLEN 28GR BISCOLATA NIRVANA VAFLI SOKOLAD']"
55,['SOLEN 28GR BISCOLATA NIRVANA VAFLI SOKOLAD'],"['KITCHEN TAXTA QASIQ SE-435', 'POMIDOR KG']"
56,"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'CASKA HEDIYYE MISKALI']",['XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q']
57,"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q']",['CASKA HEDIYYE MISKALI']
58,"['CASKA HEDIYYE MISKALI', 'XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q']",['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q']
59,['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q'],"['CASKA HEDIYYE MISKALI', 'XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q']"
60,['CASKA HEDIYYE MISKALI'],"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q']"
61,['XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q'],"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'CASKA HEDIYYE MISKALI']"
62,"['CASKA HEDIYYE MISKALI', 'XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q']",['KONFET KDV YARCE! ARAXIS V KARAMELI KG']
63,"['CASKA HEDIYYE MISKALI', 'KONFET KDV YARCE! ARAXIS V KARAMELI KG']",['XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q']
64,"['XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q', 'KONFET KDV YARCE! ARAXIS V KARAMELI KG']",['CASKA HEDIYYE MISKALI']
65,['CASKA HEDIYYE MISKALI'],"['XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q', 'KONFET KDV YARCE! ARAXIS V KARAMELI KG']"
66,['XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q'],"['CASKA HEDIYYE MISKALI', 'KONFET KDV YARCE! ARAXIS V KARAMELI KG']"
67,['KONFET KDV YARCE! ARAXIS V KARAMELI KG'],"['CASKA HEDIYYE MISKALI', 'XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q']"
68,"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q']",['KONFET KDV YARCE! ARAXIS V KARAMELI KG']
69,"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'KONFET KDV YARCE! ARAXIS V KARAMELI KG']",['XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q']
70,"['XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q', 'KONFET KDV YARCE! ARAXIS V KARAMELI KG']",['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q']
71,['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q'],"['XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q', 'KONFET KDV YARCE! ARAXIS V KARAMELI KG']"
72,['XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q'],"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'KONFET KDV YARCE! ARAXIS V KARAMELI KG']"
73,['KONFET KDV YARCE! ARAXIS V KARAMELI KG'],"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'XIRDALAN PREMIUM 0.44L DRAFT PIVE S/Q']"
74,"['CER.ZENCEFIL DIABET KG', 'KARAMEL ULDUZ COFFONE COFFE KG']",['CAM DUYU UZUN.KG']
75,"['CER.ZENCEFIL DIABET KG', 'CAM DUYU UZUN.KG']",['KARAMEL ULDUZ COFFONE COFFE KG']
76,"['KARAMEL ULDUZ COFFONE COFFE KG', 'CAM DUYU UZUN.KG']",['CER.ZENCEFIL DIABET KG']
77,['CER.ZENCEFIL DIABET KG'],"['KARAMEL ULDUZ COFFONE COFFE KG', 'CAM DUYU UZUN.KG']"
78,['KARAMEL ULDUZ COFFONE COFFE KG'],"['CER.ZENCEFIL DIABET KG', 'CAM DUYU UZUN.KG']"
79,['CAM DUYU UZUN.KG'],"['CER.ZENCEFIL DIABET KG', 'KARAMEL ULDUZ COFFONE COFFE KG']"
80,"['LAV ROSY CAY DESTI 12LI', 'MOROSHA 1LT DJERELNA VODKA']",['POMIDOR KG']
81,"['LAV ROSY CAY DESTI 12LI', 'POMIDOR KG']",['MOROSHA 1LT DJERELNA VODKA']
82,"['MOROSHA 1LT DJERELNA VODKA', 'POMIDOR KG']",['LAV ROSY CAY DESTI 12LI']
83,['LAV ROSY CAY DESTI 12LI'],"['MOROSHA 1LT DJERELNA VODKA', 'POMIDOR KG']"
84,['MOROSHA 1LT DJERELNA VODKA'],"['LAV ROSY CAY DESTI 12LI', 'POMIDOR KG']"
85,['POMIDOR KG'],"['LAV ROSY CAY DESTI 12LI', 'MOROSHA 1LT DJERELNA VODKA']"
86,"['DONDURMA HAAGEN DAZS 100GR CIYELEK KREM', 'LYULI-LYULI 0.5LT ARAQ']",['BIZIM SUFRE 250GR BURGER SOUSU PL/Q']
87,"['BIZIM SUFRE 250GR BURGER SOUSU PL/Q', 'LYULI-LYULI 0.5LT ARAQ']",['DONDURMA HAAGEN DAZS 100GR CIYELEK KREM']
88,"['DONDURMA HAAGEN DAZS 100GR CIYELEK KREM', 'BIZIM SUFRE 250GR BURGER SOUSU PL/Q']",['LYULI-LYULI 0.5LT ARAQ']
89,['LYULI-LYULI 0.5LT ARAQ'],"['DONDURMA HAAGEN DAZS 100GR CIYELEK KREM', 'BIZIM SUFRE 250GR BURGER SOUSU PL/Q']"
90,['DONDURMA HAAGEN DAZS 100GR CIYELEK KREM'],"['BIZIM SUFRE 250GR BURGER SOUSU PL/Q', 'LYULI-LYULI 0.5LT ARAQ']"
91,['BIZIM SUFRE 250GR BURGER SOUSU PL/Q'],"['DONDURMA HAAGEN DAZS 100GR CIYELEK KREM', 'LYULI-LYULI 0.5LT ARAQ']"
92,"['COREK COREKCI 450GR KOMBE COVDARLI', 'RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ']",['FROZEN HAPPY BIRTHDAY 4-LU SAM DESTI']
93,"['COREK COREKCI 450GR KOMBE COVDARLI', 'FROZEN HAPPY BIRTHDAY 4-LU SAM DESTI']",['RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ']
94,"['RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ', 'FROZEN HAPPY BIRTHDAY 4-LU SAM DESTI']",['COREK COREKCI 450GR KOMBE COVDARLI']
95,['COREK COREKCI 450GR KOMBE COVDARLI'],"['RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ', 'FROZEN HAPPY BIRTHDAY 4-LU SAM DESTI']"
96,['RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ'],"['COREK COREKCI 450GR KOMBE COVDARLI', 'FROZEN HAPPY BIRTHDAY 4-LU SAM DESTI']"
97,['FROZEN HAPPY BIRTHDAY 4-LU SAM DESTI'],"['COREK COREKCI 450GR KOMBE COVDARLI', 'RUSSKAYA LEQENDA 0.7LT PREMIUM 40% ARAQ']"
98,"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'CASKA HEDIYYE MISKALI']",['KONFET KDV YARCE! ARAXIS V KARAMELI KG']
99,"['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q', 'KONFET KDV YARCE! ARAXIS V KARAMELI KG']",['CASKA HEDIYYE MISKALI']
100,"['CASKA HEDIYYE MISKALI', 'KONFET KDV YARCE! ARAXIS V KARAMELI KG']",['DELSTER 330ML PIVE ALKOQOLSUZ SAFTALI S/Q']
